Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:43:23

Pixel   Wavelength(nm)    Intensity
1295         787.44        39
1296         787.86        43
1297         788.27        42
1298         788.69        41
1299         789.10        37
1300         789.51        38
1301         789.93        33
1302         790.34        38
1303         790.75        38
1304         791.17        43
1305         791.58        44
1306         792.00        42
1307         792.41        42
1308         792.82        41
1309         793.24        38
1310         793.65        37
1311         794.07        40
1312         794.48        42
1313         794.89        46
1314         795.31        37
1315         795.72        40
1316         796.14        40
1317         796.55        37
1318         796.96        39
1319         797.38        38
1320         797.79        37
1321         798.21        38
1322         798.62        41
1323         799.04        43
1324         799.45        34
1325         799.86        38
1326         800.28        36
1327         800.69        36
1328         801.11        37
1329         801.52        33
1330         801.94        39
1331         802.35        39
1332         802.77        33
1333         803.18        36
1334         803.59        44
1335         804.01        37
1336         804.42        42
1337         804.84        41
1338         805.25        34
1339         805.67        33
1340         806.08        30
1341         806.50        34
1342         806.91        31
1343         807.33        39
1344         807.74        36
1345         808.16        34
1346         808.57        34
1347         808.99        34
1348         809.40        32
1349         809.82        37
1350         810.23        34
1351         810.65        31
1352         811.06        33
1353         811.48        38
1354         811.89        35
1355         812.31        33
1356         812.72        31
1357         813.14        35
1358         813.55        28
1359         813.97        37
1360         814.38        30
1361         814.80        36
1362         815.21        28
1363         815.63        38
1364         816.04        34
1365         816.46        36
1366         816.87        33
1367         817.29        31
1368         817.70        40
1369         818.12        33
1370         818.54        38
1371         818.95        42
1372         819.37        33
1373         819.78        40
1374         820.20        34
1375         820.61        41
1376         821.03        37
1377         821.44        35
1378         821.86        42
1379         822.28        35
1380         822.69        37
1381         823.11        37
1382         823.52        37
1383         823.94        43
1384         824.35        37
1385         824.77        38
1386         825.19        40
1387         825.60        36
1388         826.02        40
1389         826.43        40
1390         826.85        35
1391         827.26        38
1392         827.68        39
1393         828.10        38
1394         828.51        35
1395         828.93        39
1396         829.34        39
1397         829.76        40
1398         830.18        37
1399         830.59        41
1400         831.01        41
1401         831.43        41
1402         831.84        39
1403         832.26        42
1404         832.67        40
1405         833.09        39
1406         833.51        42
1407         833.92        42
1408         834.34        37
1409         834.76        43
1410         835.17        41
1411         835.59        38
1412         836.00        42
1413         836.42        39
1414         836.84        42
1415         837.25        41
1416         837.67        46
1417         838.09        38
1418         838.50        41
1419         838.92        38
1420         839.34        44
1421         839.75        39
1422         840.17        37
1423         840.59        37
1424         841.00        46
1425         841.42        39
1426         841.84        38
1427         842.25        38
1428         842.67        41
1429         843.09        42
1430         843.50        44
1431         843.92        37
1432         844.34        44
1433         844.75        37
1434         845.17        40
1435         845.59        42
1436         846.00        38
1437         846.42        40
1438         846.84        40
1439         847.25        38
1440         847.67        30
1441         848.09        38
1442         848.51        42
1443         848.92        40
1444         849.34        33
1445         849.76        39
1446         850.17        39
1447         850.59        38
1448         851.01        41
1449         851.43        36
1450         851.84        36
1451         852.26        37
1452         852.68        38
1453         853.09        36
1454         853.51        37
1455         853.93        39
1456         854.35        34
1457         854.76        40
1458         855.18        35
1459         855.60        37
1460         856.02        37
1461         856.43        37
1462         856.85        36
1463         857.27        31
1464         857.69        38
1465         858.10        38
1466         858.52        37
1467         858.94        42
1468         859.36        38
1469         859.77        34
1470         860.19        40
1471         860.61        31
1472         861.03        32
1473         861.44        38
1474         861.86        31
1475         862.28        35
1476         862.70        37
1477         863.12        30
1478         863.53        35
1479         863.95        29
1480         864.37        34
1481         864.79        41
1482         865.20        32
1483         865.62        36
1484         866.04        32
1485         866.46        38
1486         866.88        40
1487         867.29        34
1488         867.71        36
1489         868.13        34
1490         868.55        35
1491         868.97        42
1492         869.38        38
1493         869.80        30
1494         870.22        32
